episode,date,quarter,Environment & Water Conservation,Healthcare & Pandemic Response,Environment & Water Conservation.1,Healthcare & Pandemic Response.1,Innovation & Technology,Innovation & Technology.1,Education & Learning,Innovation & Technology.2,primary_topic,secondary_topic_1,secondary_topic_2,confidence,key_theme_1,key_theme_2,key_theme_3,labelled_by
1,,UnknownQ,,,,,,,,,General / Mixed Theme,Governance & Democracy,Culture & Heritage,0.8,Missing Mann Ki Baat,Spiritual Journey,New India,groq/llama-3.1-8b-instant
2,2019-07-28,2019Q3,0.1956915611852951,0.0057621967904569,0.0002931484653641,0.0253664166123623,0.0267711007992768,4.7535324525449046e-05,0.0573136431640759,0.2333489215876675,,,,,,,,
3,2019-08-25,2019Q3,0.3055439382369244,0.0279683441450017,0.001027425999646,1.960667348642452e-07,0.0013003654128003,0.079570079632165,0.0003356758816187,0.0242805703512474,,,,,,,,
4,2019-09-29,2019Q3,0.3120224143359426,0.0591287852588498,7.365828790748207e-07,5.04409784131384e-08,0.0034940655997291,2.162810563500305e-07,0.0536872232895816,5.72430316396292e-08,,,,,,,,
5,2019-10-27,2019Q4,0.0980466109835221,0.0116728047078629,4.485838607143799e-06,1.5382327106750742e-08,0.3441987989482785,0.0141535579538046,0.0965327188062912,0.0168336172969503,,,,,,,,
6,2019-11-24,2019Q4,0.2992145508693656,0.0216116466736474,4.584047075107612e-06,6.490470939762013e-06,0.0001928104153313,0.0766427264325658,0.0485767063388288,5.3187988799014936e-08,,,,,,,,
7,2019-12-29,2019Q4,0.1308064001991147,0.0549857126835339,3.48555183053968e-07,2.164336359389932e-05,0.2485132002468844,0.0279952887190163,0.0031291738024878,0.1127026950888057,,,,,,,,
8,2020-01-26,2020Q1,0.1324652105755565,0.0046002066966867,0.0175111765199554,0.0010173016370618,0.0004029927788037,0.2037073772116936,0.3213493704055636,0.0058034991569915,,,,,,,,
9,2020-02-23,2020Q1,0.098236667076586,3.442415240881787e-05,8.513867964178252e-05,0.0298775438756546,0.3502564697539749,4.161058091097639e-08,3.874070047634708e-05,0.051092393229727,,,,,,,,
10,2020-03-29,2020Q1,0.0433535378278505,0.5366780314513345,8.067207708012228e-07,0.053874869657623,1.730114383679689e-06,0.0056408320898603,4.819178327209736e-05,2.004539189624409e-05,,,,,,,,
11,2020-04-26,2020Q2,0.0877531137838943,0.4409839987623331,0.0017115642802932,0.003997464956318,0.0192401400373687,0.0381000001444398,1.29092690556536e-05,8.633010717061828e-07,,,,,,,,
12,2020-05-31,2020Q2,0.1121769215642326,0.3256660252057438,0.0004193721376355,0.0375638228963752,0.0920697630977957,0.0288612296670972,2.1361110719448368e-05,0.065127107037901,,,,,,,,
13,2020-06-28,2020Q2,0.1320989965493214,0.2118647886981966,0.0435014637659837,4.372578752497144e-09,0.0350938471561585,0.0014646362691694,0.094637213583108,0.1302368609078389,,,,,,,,
14,2020-07-26,2020Q3,0.0738852053719476,0.2057378866888815,0.0399207985365727,2.8062362766170968e-05,0.1980766408069576,2.426716823801459e-05,0.190902157216124,0.0004767167727465,,,,,,,,
15,2020-08-30,2020Q3,0.1089948781835472,0.0730196897380474,0.1716120437708274,0.0224128350693923,0.1022232583868733,0.0318503406743775,0.1520438020345846,2.909973323284571e-06,,,,,,,,
16,2020-09-27,2020Q3,0.0352752907084552,0.1417825931052658,0.1085335448571784,5.911543276011556e-05,0.2536977064598285,0.0843479973587338,0.0288821466077398,0.0029280249956782,,,,,,,,
17,2020-10-25,2020Q4,0.059398209551145,0.079112165045511,0.049443395782585,1.1219230838356212e-07,0.4227878247246929,0.0536082524717914,0.0214099546237719,1.1769063770779968e-06,,,,,,,,
