Quarter,Rank,Topic_Label,Top_Words
2019Q2,1,General / Mixed Theme,"democracy, election, vote, commission, democratic, constitution, republic, station"
2019Q2,2,Healthcare & Pandemic Response,"doctor, corona, battle, nurse, mask, hospital, quarantine, pandemic"
2019Q2,3,Culture & Rural Development,"product, plant, member, engage, plant tree, water conservation, collective, tribal"
2019Q2,4,Environment & Water Conservation,"book, library, read book, read, recognize, student, cleanliness, waste"
2019Q2,5,Healthcare & Pandemic Response,"dose, sanskrit, olympic, creation, space, vaccine, sanskrit language, radio"
2019Q3,1,General / Mixed Theme,"nutrition, diet, tiger, millet, plastic, sign, food, animal"
2019Q3,2,Environment & Water Conservation,"book, library, read book, read, recognize, student, cleanliness, waste"
2019Q3,3,Education & Learning,"player, medal, gold, sport, solar, exam, football, congratulation"
2019Q3,4,General / Mixed Theme,"democracy, election, vote, commission, democratic, constitution, republic, station"
2019Q3,5,Culture & Rural Development,"martyrdom, toy, deed, reliant, begin, self reliant, computer, arrange"
2019Q4,1,Innovation & Technology,"unity, solar, anniversary, space, guru, apple, satellite, sahib"
2019Q4,2,Yoga & Wellness,"yoga, pilgrimage, yatra, silk, international, football, product, break"
2019Q4,3,General / Mixed Theme,"democracy, election, vote, commission, democratic, constitution, republic, station"
2019Q4,4,General / Mixed Theme,"mother tongue, tongue, idol, star, rank, republic, song, mental"
2019Q4,5,Healthcare & Pandemic Response,"patient, entry, sound, instrument, competition, doctor, clip, sleep"
2020Q1,1,Healthcare & Pandemic Response,"doctor, corona, battle, nurse, mask, hospital, quarantine, pandemic"
2020Q1,2,Education & Learning,"player, medal, gold, sport, solar, exam, football, congratulation"
2020Q1,3,Yoga & Wellness,"yoga, pilgrimage, yatra, silk, international, football, product, break"
2020Q1,4,General / Mixed Theme,"democracy, election, vote, commission, democratic, constitution, republic, station"
2020Q1,5,Culture & Rural Development,"martyrdom, toy, deed, reliant, begin, self reliant, computer, arrange"
2020Q2,1,Healthcare & Pandemic Response,"doctor, corona, battle, nurse, mask, hospital, quarantine, pandemic"
2020Q2,2,Culture & Rural Development,"martyrdom, toy, deed, reliant, begin, self reliant, computer, arrange"
2020Q2,3,Yoga & Wellness,"yoga, pilgrimage, yatra, silk, international, football, product, break"
2020Q2,4,Healthcare & Pandemic Response,"dose, sanskrit, olympic, creation, space, vaccine, sanskrit language, radio"
2020Q2,5,Culture & Rural Development,"product, plant, member, engage, plant tree, water conservation, collective, tribal"
2020Q3,1,Culture & Rural Development,"martyrdom, toy, deed, reliant, begin, self reliant, computer, arrange"
2020Q3,2,General / Mixed Theme,"mother tongue, tongue, idol, star, rank, republic, song, mental"
2020Q3,3,Healthcare & Pandemic Response,"doctor, corona, battle, nurse, mask, hospital, quarantine, pandemic"
2020Q3,4,Innovation & Technology,"unity, solar, anniversary, space, guru, apple, satellite, sahib"
2020Q3,5,Healthcare & Pandemic Response,"patient, entry, sound, instrument, competition, doctor, clip, sleep"
2020Q4,1,Culture & Rural Development,"martyrdom, toy, deed, reliant, begin, self reliant, computer, arrange"
2020Q4,2,Innovation & Technology,"unity, solar, anniversary, space, guru, apple, satellite, sahib"
2020Q4,3,General / Mixed Theme,"mother tongue, tongue, idol, star, rank, republic, song, mental"
2020Q4,4,Environment & Water Conservation,"summer, lake, babasaheb, padma, fair, padma award, shakti, ayush"
